wavelength,mm_cm_2
3151.0,6.836077876973702e-09
3152.0,6.88003452593056e-09
3153.0,6.912325113681376e-09
3154.0,6.9191108169043775e-09
3155.0,6.9338521721819246e-09
3156.0,6.9461199213584775e-09
3157.0,6.9536744480993526e-09
3158.0,6.96096155796444e-09
3159.0,6.972393629404175e-09
3160.0,6.979212759736645e-09
3161.0,6.989508309454298e-09
3162.0,6.996728565100444e-09
3163.0,7.007024114818092e-09
3164.0,7.031225342076473e-09
3165.0,7.045699280478237e-09
3166.0,7.086513781144644e-09
3167.0,7.128297667985765e-09
3168.0,7.1353507880845435e-09
3169.0,7.181112500952942e-09
3170.0,7.188165621051723e-09
3171.0,7.196823242405204e-09
3172.0,7.20427748781766e-09
3173.0,7.24943751271554e-09
3174.0,7.259933625090033e-09
3175.0,7.279655619679043e-09
3176.0,7.3049933686594975e-09
3177.0,7.312213624305644e-09
3178.0,7.31936702573284e-09
3179.0,7.326620708488462e-09
3180.0,7.333807537025135e-09
3181.0,7.3445376391659345e-09
3182.0,7.352292728563648e-09
3183.0,7.3594795571003155e-09
3184.0,7.45364372448547e-09
3185.0,7.461331959664236e-09
3186.0,7.469588455704041e-09
3187.0,7.476908992678607e-09
3188.0,7.484262956762646e-09
3189.0,7.491650347956153e-09
3190.0,7.541991574822336e-09
3191.0,7.569301523261692e-09
3192.0,7.576722341564676e-09
3193.0,7.607207865403963e-09
3194.0,7.652033619207111e-09
3195.0,7.659822135714297e-09
3196.0,7.685627864227374e-09
3197.0,7.693416380734558e-09
3198.0,7.70130517857017e-09
3199.0,7.709160549296293e-09
3200.0,7.716915638694005e-09
3201.0,7.770566149398005e-09
3202.0,7.77929062497043e-09
3203.0,7.788148808980752e-09
3204.0,7.844005508909958e-09
3205.0,7.918247119049263e-09
3206.0,7.926570469308013e-09
3207.0,7.934325558705726e-09
3208.0,7.942047220994007e-09
3209.0,7.954147834623154e-09
3210.0,7.962370903553486e-09
3211.0,7.970092565841725e-09
3212.0,7.97788108234891e-09
3213.0,7.98580330729399e-09
3214.0,8.096814737853476e-09
3215.0,8.107745402651113e-09
3216.0,8.115767908924609e-09
3217.0,8.124258394730724e-09
3218.0,8.132147192566332e-09
3219.0,8.14013627173035e-09
3220.0,8.265354223815822e-09
3221.0,8.31148363488842e-09
3222.0,8.325957573290185e-09
3223.0,8.334147215111047e-09
3224.0,8.343072253340307e-09
3225.0,8.53130030678219e-09
3226.0,8.555702096697404e-09
