date,pwv,pwv_err
1262686500.0,3.9,1.39
1262688300.0,4.3,1.43
1262690100.0,4.4,1.44
1262691900.0,4.2,1.42
1262693700.0,3.7,1.37
1262695500.0,3.6,1.36
1262697300.0,3.7,1.37
1262699100.0,3.4,1.34
1262700900.0,3.5,1.35
1262702700.0,3.6,1.36
1262704500.0,3.2,1.32
1262706300.0,3.1,1.31
1262708100.0,3.1,1.31
1262709900.0,3.2,1.32
1262711700.0,3.8,1.38
1262713500.0,3.7,1.37
1262715300.0,3.5,1.35
1262717100.0,3.9,1.39
1262718900.0,4.2,1.42
1262720700.0,4.2,1.42
1262722500.0,4.0,1.4
1262724300.0,3.9,1.39
1262726100.0,3.6,1.36
1262727900.0,3.8,1.38
1262729700.0,4.0,1.4
1262731500.0,3.9,1.39
1262733300.0,3.8,1.38
1262735100.0,3.7,1.37
1262736900.0,3.8,1.38
1262738700.0,3.7,1.37
1262740500.0,3.5,1.35
1262742300.0,3.2,1.32
1262744100.0,3.3,1.33
1262745900.0,3.4,1.34
1262747700.0,3.1,1.31
1262749500.0,3.0,1.3
1262751300.0,3.5,1.35
1262753100.0,3.3,1.33
1262754900.0,2.8,1.28
1262756700.0,3.4,1.34
1262758500.0,3.8,1.38
1262760300.0,3.4,1.34
1262762100.0,3.0,1.3
1262763900.0,3.2,1.32
1262765700.0,2.7,1.27
1262767500.0,2.3,1.23
1262769300.0,2.3,1.23
1262771100.0,2.5,1.25
1262772900.0,2.7,1.27
1262774700.0,2.9,1.29
1262776500.0,3.2,1.32
1262778300.0,3.0,1.3
1262780100.0,2.7,1.27
1262781900.0,2.7,1.27
1262783700.0,2.9,1.29
1262785500.0,2.7,1.27
1262787300.0,2.8,1.28
1262789100.0,2.8,1.28
1262790900.0,2.6,1.26
1262792700.0,3.0,1.3
1262794500.0,3.1,1.31
1262796300.0,3.1,1.31
1262798100.0,3.7,1.37
1262799900.0,3.6,1.36
1262801700.0,3.3,1.33
1262803500.0,3.6,1.36
1262805300.0,4.0,1.4
1262807100.0,4.3,1.43
1262808900.0,4.1,1.41
1262810700.0,3.7,1.37
1262812500.0,3.6,1.36
1262814300.0,4.3,1.43
1262816100.0,4.4,1.44
1262817900.0,4.5,1.45
1262819700.0,4.6,1.46
1262821500.0,4.4,1.44
1262823300.0,4.4,1.44
1262825100.0,4.4,1.44
1262826900.0,4.6,1.46
1262828700.0,4.8,1.48
1262830500.0,5.5,1.55
1262832300.0,5.9,1.59
1262834100.0,5.6,1.56
1262835900.0,5.3,1.53
1262837700.0,5.6,1.56
1262839500.0,6.0,1.6
1262841300.0,6.1,1.61
1262843100.0,6.5,1.65
1262844900.0,6.8,1.68
1262846700.0,6.6,1.66
1262848500.0,7.0,1.7
