date,KITT,KITT_err,SA48,SA48_err
1262304900.0,,,4.7,0.125
1262306700.0,,,4.7,0.125
1262308500.0,,,3.6,0.125
1262310300.0,,,3.6,0.125
1262312100.0,,,3.5,0.125
1262313900.0,,,3.6,0.125
1262315700.0,,,3.7,0.125
1262317500.0,,,3.5,0.125
1262319300.0,,,3.4,0.125
1262321100.0,,,3.8,0.125
1262322900.0,,,3.6,0.125
1262324700.0,,,3.1,0.125
1262326500.0,,,3.2,0.125
1262328300.0,,,3.2,0.125
1262330100.0,,,3.0,0.125
1262331900.0,,,3.6,0.125
1262333700.0,,,3.8,0.125
1262335500.0,,,2.7,0.125
1262337300.0,,,2.7,0.125
1262339100.0,,,3.0,0.125
1262340900.0,,,3.1,0.125
1262342700.0,,,3.5,0.125
1262344500.0,,,4.1,0.125
1262346300.0,,,4.0,0.125
1262348100.0,,,3.5,0.125
1262349900.0,,,3.3,0.125
1262351700.0,,,3.8,0.125
1262353500.0,,,3.9,0.125
1262355300.0,,,4.0,0.125
1262357100.0,,,4.4,0.125
1262358900.0,,,4.1,0.125
1262360700.0,,,3.7,0.125
1262362500.0,,,4.1,0.125
1262364300.0,,,4.4,0.125
1262366100.0,,,4.1,0.125
1262367900.0,,,4.2,0.125
1262369700.0,,,3.7,0.125
1262371500.0,,,3.5,0.125
1262373300.0,,,4.3,0.125
1262375100.0,,,4.5,0.125
1262376900.0,,,4.5,0.125
1262378700.0,,,4.0,0.125
1262380500.0,,,4.1,0.125
1262382300.0,,,4.5,0.125
1262384100.0,,,4.8,0.125
1262385900.0,,,4.7,0.125
1262387700.0,,,4.8,0.125
1262389500.0,,,4.9,0.125
1262391300.0,,,5.4,0.125
1262393100.0,,,5.4,0.125
1262394900.0,,,4.8,0.125
1262396700.0,,,5.1,0.125
1262398500.0,,,5.2,0.125
1262400300.0,,,5.3,0.125
1262402100.0,,,5.5,0.125
1262403900.0,,,5.7,0.125
1262405700.0,,,6.0,0.125
1262407500.0,,,6.6,0.125
1262409300.0,,,6.8,0.125
1262411100.0,,,6.5,0.125
1262412900.0,,,6.5,0.125
1262414700.0,,,6.6,0.125
1262416500.0,,,6.6,0.125
1262418300.0,,,6.8,0.125
1262420100.0,,,6.7,0.125
1262421900.0,,,6.1,0.125
1262423700.0,,,6.3,0.125
1262425500.0,,,6.2,0.125
1262427300.0,,,6.3,0.125
1262429100.0,,,6.7,0.125
1262430900.0,,,7.2,0.125
1262432700.0,,,7.2,0.125
1262434500.0,,,6.7,0.125
1262436300.0,,,6.5,0.125
1262438100.0,,,6.9,0.125
